n_doping,p_doping,Temp,tpe,tph,vin,iout
1.50E+01,1.50E+01,250,100000,1000,0.8,-6.029188389
1.50E+01,1.50E+01,250,100000,100000,-0.2,-19.32239305
1.50E+01,1.50E+01,250,100000,100000,-0.15,-19.33535802
1.50E+01,1.50E+01,250,100000,100000,-0.1,-19.39147397
1.50E+01,1.50E+01,250,100000,100000,-0.05,-19.45099674
1.50E+01,1.50E+01,250,100000,100000,0,-28.81247928
1.50E+01,1.50E+01,250,100000,100000,0.05,-18.55284197
1.50E+01,1.50E+01,250,100000,100000,0.1,-17.52724355
1.50E+01,1.50E+01,250,100000,100000,0.15,-16.53461715
1.50E+01,1.50E+01,250,100000,100000,0.2,-15.54515514
1.50E+01,1.50E+01,250,100000,100000,0.25,-14.5543958
1.50E+01,1.50E+01,250,100000,100000,0.3,-13.56863624
1.50E+01,1.50E+01,250,100000,100000,0.35,-12.58670024
1.50E+01,1.50E+01,250,100000,100000,0.4,-11.61083392
1.50E+01,1.50E+01,250,100000,100000,0.45,-10.64781748
1.50E+01,1.50E+01,250,100000,100000,0.5,-9.705533774
1.50E+01,1.50E+01,250,100000,100000,0.55,-8.793174124
1.50E+01,1.50E+01,250,100000,100000,0.6,-7.93930216
1.50E+01,1.50E+01,250,100000,100000,0.65,-7.18642011
1.50E+01,1.50E+01,250,100000,100000,0.7,-6.610833916
1.50E+01,1.50E+01,250,100000,100000,0.75,-6.241088108
1.50E+01,1.50E+01,250,100000,100000,0.8,-6.029188389
1.50E+01,1.50E+01,250,100000,10000000,-0.2,-19.32239305
1.50E+01,1.50E+01,250,100000,10000000,-0.15,-19.33535802
1.50E+01,1.50E+01,250,100000,10000000,-0.1,-19.39147397
1.50E+01,1.50E+01,250,100000,10000000,-0.05,-19.45099674
1.50E+01,1.50E+01,250,100000,10000000,0,-28.81247928
1.50E+01,1.50E+01,250,100000,10000000,0.05,-18.55284197
1.50E+01,1.50E+01,250,100000,10000000,0.1,-17.52724355
1.50E+01,1.50E+01,250,100000,10000000,0.15,-16.53461715
1.50E+01,1.50E+01,250,100000,10000000,0.2,-15.54515514
1.50E+01,1.50E+01,250,100000,10000000,0.25,-14.5543958
1.50E+01,1.50E+01,250,100000,10000000,0.3,-13.56863624
1.50E+01,1.50E+01,250,100000,10000000,0.35,-12.58670024
1.50E+01,1.50E+01,250,100000,10000000,0.4,-11.61083392
1.50E+01,1.50E+01,250,100000,10000000,0.45,-10.64781748
1.50E+01,1.50E+01,250,100000,10000000,0.5,-9.705533774
1.50E+01,1.50E+01,250,100000,10000000,0.55,-8.793174124
1.50E+01,1.50E+01,250,100000,10000000,0.6,-7.93930216
1.50E+01,1.50E+01,250,100000,10000000,0.65,-7.18642011
1.50E+01,1.50E+01,250,100000,10000000,0.7,-6.610833916
1.50E+01,1.50E+01,250,100000,10000000,0.75,-6.241088108
1.50E+01,1.50E+01,250,100000,10000000,0.8,-6.029188389
1.50E+01,1.50E+01,250,10000000,1000,-0.2,-19.32239305
1.50E+01,1.50E+01,250,10000000,1000,-0.15,-19.33535802
1.50E+01,1.50E+01,250,10000000,1000,-0.1,-19.39147397
1.50E+01,1.50E+01,250,10000000,1000,-0.05,-19.45099674
1.50E+01,1.50E+01,250,10000000,1000,0,-28.81247928
1.50E+01,1.50E+01,250,10000000,1000,0.05,-18.55284197
1.50E+01,1.50E+01,250,10000000,1000,0.1,-17.52724355
1.50E+01,1.50E+01,250,10000000,1000,0.15,-16.53461715
1.50E+01,1.50E+01,250,10000000,1000,0.2,-15.54515514
1.50E+01,1.50E+01,250,10000000,1000,0.25,-14.5543958
1.50E+01,1.50E+01,250,10000000,1000,0.3,-13.56863624
1.50E+01,1.50E+01,250,10000000,1000,0.35,-12.58670024
1.50E+01,1.50E+01,250,10000000,1000,0.4,-11.61083392
1.50E+01,1.50E+01,250,10000000,1000,0.45,-10.64781748
1.50E+01,1.50E+01,250,10000000,1000,0.5,-9.705533774
1.50E+01,1.50E+01,250,10000000,1000,0.55,-8.793174124
1.50E+01,1.50E+01,250,10000000,1000,0.6,-7.93930216
1.50E+01,1.50E+01,250,10000000,1000,0.65,-7.18642011
1.50E+01,1.50E+01,250,10000000,1000,0.7,-6.610833916
1.50E+01,1.50E+01,250,10000000,1000,0.75,-6.241088108
1.50E+01,1.50E+01,250,10000000,1000,0.8,-6.029188389
1.50E+01,1.50E+01,250,10000000,100000,-0.2,-19.32239305
1.50E+01,1.50E+01,250,10000000,100000,-0.15,-19.33535802
1.50E+01,1.50E+01,250,10000000,100000,-0.1,-19.39147397
1.50E+01,1.50E+01,250,10000000,100000,-0.05,-19.45099674
1.50E+01,1.50E+01,250,10000000,100000,0,-28.81247928
1.50E+01,1.50E+01,250,10000000,100000,0.05,-18.55284197
1.50E+01,1.50E+01,250,10000000,100000,0.1,-17.52724355
1.50E+01,1.50E+01,250,10000000,100000,0.15,-16.53461715
1.50E+01,1.50E+01,250,10000000,100000,0.2,-15.54515514
1.50E+01,1.50E+01,250,10000000,100000,0.25,-14.5543958
1.50E+01,1.50E+01,250,10000000,100000,0.3,-13.56863624
1.50E+01,1.50E+01,250,10000000,100000,0.35,-12.58670024
1.50E+01,1.50E+01,250,10000000,100000,0.4,-11.61083392
1.50E+01,1.50E+01,250,10000000,100000,0.45,-10.64781748
1.50E+01,1.50E+01,250,10000000,100000,0.5,-9.705533774
1.50E+01,1.50E+01,250,10000000,100000,0.55,-8.793174124
1.50E+01,1.50E+01,250,10000000,100000,0.6,-7.93930216
1.50E+01,1.50E+01,250,10000000,100000,0.65,-7.18642011
1.50E+01,1.50E+01,250,10000000,100000,0.7,-6.610833916
1.50E+01,1.50E+01,250,10000000,100000,0.75,-6.241088108
1.50E+01,1.50E+01,250,10000000,100000,0.8,-6.029188389
1.50E+01,1.50E+01,250,10000000,10000000,-0.2,-19.32239305
1.50E+01,1.50E+01,250,10000000,10000000,-0.15,-19.33535802
1.50E+01,1.50E+01,250,10000000,10000000,-0.1,-19.39147397
1.50E+01,1.50E+01,250,10000000,10000000,-0.05,-19.45099674
1.50E+01,1.50E+01,250,10000000,10000000,0,-28.81247928
1.50E+01,1.50E+01,250,10000000,10000000,0.05,-18.55284197
1.50E+01,1.50E+01,250,10000000,10000000,0.1,-17.52724355
1.50E+01,1.50E+01,250,10000000,10000000,0.15,-16.53461715
1.50E+01,1.50E+01,250,10000000,10000000,0.2,-15.54515514
1.50E+01,1.50E+01,250,10000000,10000000,0.25,-14.5543958
1.50E+01,1.50E+01,250,10000000,10000000,0.3,-13.56863624
1.50E+01,1.50E+01,250,10000000,10000000,0.35,-12.58670024
1.50E+01,1.50E+01,250,10000000,10000000,0.4,-11.61083392
1.50E+01,1.50E+01,250,10000000,10000000,0.45,-10.64781748
1.50E+01,1.50E+01,250,10000000,10000000,0.5,-9.705533774
1.50E+01,1.50E+01,250,10000000,10000000,0.55,-8.793174124
1.50E+01,1.50E+01,250,10000000,10000000,0.6,-7.93930216
1.50E+01,1.50E+01,250,10000000,10000000,0.65,-7.18642011
1.50E+01,1.50E+01,250,10000000,10000000,0.7,-6.610833916
1.50E+01,1.50E+01,250,10000000,10000000,0.75,-6.241088108
1.50E+01,1.50E+01,250,10000000,10000000,0.8,-6.029188389
1.50E+01,1.50E+01,300,1000,1000,-0.2,-15.3439018
1.50E+01,1.50E+01,300,1000,1000,-0.15,-15.36051351
1.50E+01,1.50E+01,300,1000,1000,-0.1,-15.3757179
1.50E+01,1.50E+01,300,1000,1000,-0.05,-15.43533394
1.50E+01,1.50E+01,300,1000,1000,0,-16.51427857
1.50E+01,1.50E+01,300,1000,1000,0.05,-14.63451202
1.50E+01,1.50E+01,300,1000,1000,0.1,-13.75448733
1.50E+01,1.50E+01,300,1000,1000,0.15,-12.92811799
1.50E+01,1.50E+01,300,1000,1000,0.2,-12.11294562
1.50E+01,1.50E+01,300,1000,1000,0.25,-11.3053948
1.50E+01,1.50E+01,300,1000,1000,0.3,-10.50863831
1.50E+01,1.50E+01,300,1000,1000,0.35,-9.725842151
1.50E+01,1.50E+01,300,1000,1000,0.4,-8.966576245
1.50E+01,1.50E+01,300,1000,1000,0.45,-8.244125144
1.50E+01,1.50E+01,300,1000,1000,0.5,-7.581698709
1.50E+01,1.50E+01,300,1000,1000,0.55,-7.015472687
1.50E+01,1.50E+01,300,1000,1000,0.6,-6.588380294
1.50E+01,1.50E+01,300,1000,1000,0.65,-6.297569464
1.50E+01,1.50E+01,300,1000,1000,0.7,-6.11407366
1.50E+01,1.50E+01,300,1000,1000,0.75,-6
1.50E+01,1.50E+01,300,1000,1000,0.8,-5.924453039
1.50E+01,1.50E+01,300,1000,100000,-0.2,-15.3439018
1.50E+01,1.50E+01,300,1000,100000,-0.15,-15.36051351
1.50E+01,1.50E+01,300,1000,100000,-0.1,-15.3757179
1.50E+01,1.50E+01,300,1000,100000,-0.05,-15.43533394
1.50E+01,1.50E+01,300,1000,100000,0,-16.51427857
1.50E+01,1.50E+01,300,1000,100000,0.05,-14.63451202
1.50E+01,1.50E+01,300,1000,100000,0.1,-13.75448733
1.50E+01,1.50E+01,300,1000,100000,0.15,-12.92811799
1.50E+01,1.50E+01,300,1000,100000,0.2,-12.11294562
1.50E+01,1.50E+01,300,1000,100000,0.25,-11.3053948
1.50E+01,1.50E+01,300,1000,100000,0.3,-10.50863831
1.50E+01,1.50E+01,300,1000,100000,0.35,-9.725842151
1.50E+01,1.50E+01,300,1000,100000,0.4,-8.966576245
1.50E+01,1.50E+01,300,1000,100000,0.45,-8.244125144
1.50E+01,1.50E+01,300,1000,100000,0.5,-7.581698709
1.50E+01,1.50E+01,300,1000,100000,0.55,-7.015472687
1.50E+01,1.50E+01,300,1000,100000,0.6,-6.588380294
1.50E+01,1.50E+01,300,1000,100000,0.65,-6.297569464
1.50E+01,1.50E+01,300,1000,100000,0.7,-6.11407366
1.50E+01,1.50E+01,300,1000,100000,0.75,-6
1.50E+01,1.50E+01,300,1000,100000,0.8,-5.924453039
1.50E+01,1.50E+01,300,1000,10000000,-0.2,-15.3439018
1.50E+01,1.50E+01,300,1000,10000000,-0.15,-15.36051351
1.50E+01,1.50E+01,300,1000,10000000,-0.1,-15.3757179
1.50E+01,1.50E+01,300,1000,10000000,-0.05,-15.43533394
1.50E+01,1.50E+01,300,1000,10000000,0,-16.51427857
1.50E+01,1.50E+01,300,1000,10000000,0.05,-14.63451202
1.50E+01,1.50E+01,300,1000,10000000,0.1,-13.75448733
1.50E+01,1.50E+01,300,1000,10000000,0.15,-12.92811799
1.50E+01,1.50E+01,300,1000,10000000,0.2,-12.11294562
1.50E+01,1.50E+01,300,1000,10000000,0.25,-11.3053948
1.50E+01,1.50E+01,300,1000,10000000,0.3,-10.50863831
1.50E+01,1.50E+01,300,1000,10000000,0.35,-9.725842151
1.50E+01,1.50E+01,300,1000,10000000,0.4,-8.966576245
1.50E+01,1.50E+01,300,1000,10000000,0.45,-8.244125144
1.50E+01,1.50E+01,300,1000,10000000,0.5,-7.581698709
1.50E+01,1.50E+01,300,1000,10000000,0.55,-7.015472687
1.50E+01,1.50E+01,300,1000,10000000,0.6,-6.588380294
1.50E+01,1.50E+01,300,1000,10000000,0.65,-6.297569464
1.50E+01,1.50E+01,300,1000,10000000,0.7,-6.11407366
1.50E+01,1.50E+01,300,1000,10000000,0.75,-6
1.50E+01,1.50E+01,300,1000,10000000,0.8,-5.924453039
1.50E+01,1.50E+01,300,100000,1000,-0.2,-15.3439018
1.50E+01,1.50E+01,300,100000,1000,-0.15,-15.36051351
1.50E+01,1.50E+01,300,100000,1000,-0.1,-15.3757179
1.50E+01,1.50E+01,300,100000,1000,-0.05,-15.43533394
1.50E+01,1.50E+01,300,100000,1000,0,-16.51427857
1.50E+01,1.50E+01,300,100000,1000,0.05,-14.63451202
1.50E+01,1.50E+01,300,100000,1000,0.1,-13.75448733
1.50E+01,1.50E+01,300,100000,1000,0.15,-12.92811799
1.50E+01,1.50E+01,300,100000,1000,0.2,-12.11294562
1.50E+01,1.50E+01,300,100000,1000,0.25,-11.3053948
1.50E+01,1.50E+01,300,100000,1000,0.3,-10.50863831
1.50E+01,1.50E+01,300,100000,1000,0.35,-9.725842151
1.50E+01,1.50E+01,300,100000,1000,0.4,-8.966576245
1.50E+01,1.50E+01,300,100000,1000,0.45,-8.244125144
1.50E+01,1.50E+01,300,100000,1000,0.5,-7.581698709
1.50E+01,1.50E+01,300,100000,1000,0.55,-7.015472687
1.50E+01,1.50E+01,300,100000,1000,0.6,-6.588380294
1.50E+01,1.50E+01,300,100000,1000,0.65,-6.297569464
1.50E+01,1.50E+01,300,100000,1000,0.7,-6.11407366
1.50E+01,1.50E+01,300,100000,1000,0.75,-6
1.50E+01,1.50E+01,300,100000,1000,0.8,-5.924453039
1.50E+01,1.50E+01,300,100000,100000,-0.2,-15.3439018
1.50E+01,1.50E+01,300,100000,100000,-0.15,-15.36051351
1.50E+01,1.50E+01,300,100000,100000,-0.1,-15.3757179
1.50E+01,1.50E+01,300,100000,100000,-0.05,-15.43533394
1.50E+01,1.50E+01,300,100000,100000,0,-16.51427857
1.50E+01,1.50E+01,300,100000,100000,0.05,-14.63451202
1.50E+01,1.50E+01,300,100000,100000,0.1,-13.75448733
1.50E+01,1.50E+01,300,100000,100000,0.15,-12.92811799
1.50E+01,1.50E+01,300,100000,100000,0.2,-12.11294562
1.50E+01,1.50E+01,300,100000,100000,0.25,-11.3053948
1.50E+01,1.50E+01,300,100000,100000,0.3,-10.50863831
1.50E+01,1.50E+01,300,100000,100000,0.35,-9.725842151
1.50E+01,1.50E+01,300,100000,100000,0.4,-8.966576245
1.50E+01,1.50E+01,300,100000,100000,0.45,-8.244125144
1.50E+01,1.50E+01,300,100000,100000,0.5,-7.581698709
1.50E+01,1.50E+01,300,100000,100000,0.55,-7.015472687
1.50E+01,1.50E+01,300,100000,100000,0.6,-6.588380294
1.50E+01,1.50E+01,300,100000,100000,0.65,-6.297569464
1.50E+01,1.50E+01,300,100000,100000,0.7,-6.11407366
1.50E+01,1.50E+01,300,100000,100000,0.75,-6
1.50E+01,1.50E+01,300,100000,100000,0.8,-5.924453039
1.50E+01,1.50E+01,300,100000,10000000,-0.2,-15.3439018
1.50E+01,1.50E+01,300,100000,10000000,-0.15,-15.36051351
1.50E+01,1.50E+01,300,100000,10000000,-0.1,-15.3757179
1.50E+01,1.50E+01,300,100000,10000000,-0.05,-15.43533394
1.50E+01,1.50E+01,300,100000,10000000,0,-16.51427857
1.50E+01,1.50E+01,300,100000,10000000,0.05,-14.63451202
1.50E+01,1.50E+01,300,100000,10000000,0.1,-13.75448733
1.50E+01,1.50E+01,300,100000,10000000,0.15,-12.92811799
1.50E+01,1.50E+01,300,100000,10000000,0.2,-12.11294562
1.50E+01,1.50E+01,300,100000,10000000,0.25,-11.3053948
1.50E+01,1.50E+01,300,100000,10000000,0.3,-10.50863831
1.50E+01,1.50E+01,300,100000,10000000,0.35,-9.725842151
1.50E+01,1.50E+01,300,100000,10000000,0.4,-8.966576245
1.50E+01,1.50E+01,300,100000,10000000,0.45,-8.244125144
1.50E+01,1.50E+01,300,100000,10000000,0.5,-7.581698709
1.50E+01,1.50E+01,300,100000,10000000,0.55,-7.015472687
1.50E+01,1.50E+01,300,100000,10000000,0.6,-6.588380294
1.50E+01,1.50E+01,300,100000,10000000,0.65,-6.297569464
1.50E+01,1.50E+01,300,100000,10000000,0.7,-6.11407366
1.50E+01,1.50E+01,300,100000,10000000,0.75,-6
1.50E+01,1.50E+01,300,100000,10000000,0.8,-5.924453039
1.50E+01,1.50E+01,300,10000000,1000,-0.2,-15.3439018
1.50E+01,1.50E+01,300,10000000,1000,-0.15,-15.36051351
1.50E+01,1.50E+01,300,10000000,1000,-0.1,-15.3757179
1.50E+01,1.50E+01,300,10000000,1000,-0.05,-15.43533394
